Time Date,Time,ReceiveTime,m_SatInfo,m_IonoModelType,E01,m_IonoAvail
08/15/2019 12:07:40,12:07:40,389276,E01,GLOBAL,71.8457,True
08/15/2019 12:07:42,12:07:42,389278,E01,GLOBAL,71.42255,True
08/15/2019 12:07:44,12:07:44,389280,E01,GLOBAL,71.51108,True
08/15/2019 12:07:46,12:07:46,389282,E01,GLOBAL,69.71204,True
08/15/2019 12:07:48,12:07:48,389284,E01,GLOBAL,69.80217,True
08/15/2019 12:07:50,12:07:50,389286,E01,GLOBAL,69.89213,True
08/15/2019 12:07:52,12:07:52,389288,E01,GLOBAL,69.98191,True
08/15/2019 12:07:54,12:07:54,389290,E01,GLOBAL,70.07153,True
08/15/2019 12:07:56,12:07:56,389292,E01,GLOBAL,70.16096,True
08/15/2019 12:07:58,12:07:58,389294,E01,GLOBAL,70.82885,True
08/15/2019 12:08:00,12:08:00,389296,E01,GLOBAL,70.91833,True
08/15/2019 12:08:02,12:08:02,389298,E01,GLOBAL,71.00763,True
08/15/2019 12:08:04,12:08:04,389300,E01,GLOBAL,71.09677,True
08/15/2019 12:08:06,12:08:06,389302,E01,GLOBAL,71.18574,True
08/15/2019 12:08:09,12:08:09,389304,E01,GLOBAL,71.27454,True
08/15/2019 12:08:10,12:08:10,389306,E01,GLOBAL,71.94778,True
08/15/2019 12:08:12,12:08:12,389308,E01,GLOBAL,72.03661,True
08/15/2019 12:08:14,12:08:14,389310,E01,GLOBAL,72.12529,True
08/15/2019 12:08:16,12:08:16,389312,E01,GLOBAL,72.21379,True
08/15/2019 12:08:18,12:08:18,389314,E01,GLOBAL,72.30213,True
08/15/2019 12:08:20,12:08:20,389316,E01,GLOBAL,72.3903,True
08/15/2019 12:08:22,12:08:22,389318,E01,GLOBAL,73.06879,True
08/15/2019 12:08:24,12:08:24,389320,E01,GLOBAL,73.15701,True
08/15/2019 12:08:27,12:08:27,389322,E01,GLOBAL,73.24506,True
08/15/2019 12:08:28,12:08:28,389324,E01,GLOBAL,73.33294,True
08/15/2019 12:08:30,12:08:30,389326,E01,GLOBAL,73.42066,True
08/15/2019 12:08:32,12:08:32,389328,E01,GLOBAL,73.50822,True
08/15/2019 12:08:34,12:08:34,389330,E01,GLOBAL,73.38247,True
08/15/2019 12:08:36,12:08:36,389332,E01,GLOBAL,73.47012,True
08/15/2019 12:08:38,12:08:38,389334,E01,GLOBAL,73.55761,True
08/15/2019 12:08:40,12:08:40,389336,E01,GLOBAL,73.64493,True
08/15/2019 12:08:42,12:08:42,389338,E01,GLOBAL,73.73209,True
08/15/2019 12:08:44,12:08:44,389340,E01,GLOBAL,73.81909,True
08/15/2019 12:08:46,12:08:46,389342,E01,GLOBAL,73.29278,True
08/15/2019 12:08:48,12:08:48,389344,E01,GLOBAL,73.3799,True
08/15/2019 12:08:50,12:08:50,389346,E01,GLOBAL,73.46685,True
08/15/2019 12:08:52,12:08:52,389348,E01,GLOBAL,73.55365,True
08/15/2019 12:08:55,12:08:55,389350,E01,GLOBAL,73.64028,True
08/15/2019 12:08:56,12:08:56,389352,E01,GLOBAL,73.72676,True
08/15/2019 12:08:58,12:08:58,389354,E01,GLOBAL,73.20427,True
08/15/2019 12:09:00,12:09:00,389356,E01,GLOBAL,73.29086,True
08/15/2019 12:09:02,12:09:02,389358,E01,GLOBAL,73.3773,True
08/15/2019 12:09:04,12:09:04,389360,E01,GLOBAL,73.46357,True
08/15/2019 12:09:06,12:09:06,389362,E01,GLOBAL,70.96454,True
08/15/2019 12:09:08,12:09:08,389364,E01,GLOBAL,71.05226,True
08/15/2019 12:09:10,12:09:10,389366,E01,GLOBAL,71.13982,True
08/15/2019 12:09:12,12:09:12,389368,E01,GLOBAL,71.22723,True
08/15/2019 12:09:14,12:09:14,389370,E01,GLOBAL,71.31447,True
08/15/2019 12:09:16,12:09:16,389372,E01,GLOBAL,71.40155,True
08/15/2019 12:09:18,12:09:18,389374,E01,GLOBAL,70.78072,True
08/15/2019 12:09:20,12:09:20,389376,E01,GLOBAL,70.86749,True
08/15/2019 12:09:22,12:09:22,389378,E01,GLOBAL,70.95409,True
08/15/2019 12:09:24,12:09:24,389380,E01,GLOBAL,71.04053,True
08/15/2019 12:09:26,12:09:26,389382,E01,GLOBAL,71.12682,True
08/15/2019 12:09:28,12:09:28,389384,E01,GLOBAL,71.21296,True
08/15/2019 12:09:31,12:09:31,389386,E01,GLOBAL,70.59581,True
08/15/2019 12:09:32,12:09:32,389388,E01,GLOBAL,70.68162,True
08/15/2019 12:09:35,12:09:35,389390,E01,GLOBAL,70.76728,True
08/15/2019 12:09:36,12:09:36,389392,E01,GLOBAL,70.85278,True
08/15/2019 12:09:38,12:09:38,389394,E01,GLOBAL,70.93813,True
08/15/2019 12:09:40,12:09:40,389396,E01,GLOBAL,71.02332,True
08/15/2019 12:09:42,12:09:42,389398,E01,GLOBAL,70.40977,True
08/15/2019 12:09:44,12:09:44,389400,E01,GLOBAL,70.49464,True
08/15/2019 12:09:46,12:09:46,389402,E01,GLOBAL,68.36588,True
08/15/2019 12:09:48,12:09:48,389404,E01,GLOBAL,68.45244,True
08/15/2019 12:09:50,12:09:50,389406,E01,GLOBAL,68.53883,True
08/15/2019 12:09:52,12:09:52,389408,E01,GLOBAL,68.62508,True
08/15/2019 12:09:54,12:09:54,389410,E01,GLOBAL,68.71117,True
08/15/2019 12:09:56,12:09:56,389412,E01,GLOBAL,68.79712,True
08/15/2019 12:09:58,12:09:58,389414,E01,GLOBAL,68.39343,True
08/15/2019 12:10:00,12:10:00,389416,E01,GLOBAL,68.48,True
08/15/2019 12:10:02,12:10:02,389418,E01,GLOBAL,68.56641,True
08/15/2019 12:10:04,12:10:04,389420,E01,GLOBAL,68.65266,True
08/15/2019 12:10:06,12:10:06,389422,E01,GLOBAL,68.73876,True
08/15/2019 12:10:08,12:10:08,389424,E01,GLOBAL,68.82471,True
08/15/2019 12:10:10,12:10:10,389426,E01,GLOBAL,68.42236,True
08/15/2019 12:10:12,12:10:12,389428,E01,GLOBAL,68.50893,True
08/15/2019 12:10:14,12:10:14,389430,E01,GLOBAL,68.59534,True
08/15/2019 12:10:16,12:10:16,389432,E01,GLOBAL,68.68161,True
08/15/2019 12:10:18,12:10:18,389434,E01,GLOBAL,68.76772,True
08/15/2019 12:10:20,12:10:20,389436,E01,GLOBAL,68.85368,True
08/15/2019 12:10:22,12:10:22,389438,E01,GLOBAL,68.45264,True
08/15/2019 12:10:24,12:10:24,389440,E01,GLOBAL,68.53922,True
08/15/2019 12:10:26,12:10:26,389442,E01,GLOBAL,68.62565,True
08/15/2019 12:10:28,12:10:28,389444,E01,GLOBAL,68.71192,True
08/15/2019 12:10:30,12:10:30,389446,E01,GLOBAL,68.79804,True
08/15/2019 12:10:32,12:10:32,389448,E01,GLOBAL,68.88402,True
08/15/2019 12:10:34,12:10:34,389450,E01,GLOBAL,68.42621,True
08/15/2019 12:10:36,12:10:36,389452,E01,GLOBAL,68.51245,True
08/15/2019 12:10:38,12:10:38,389454,E01,GLOBAL,68.59853,True
08/15/2019 12:10:40,12:10:40,389456,E01,GLOBAL,68.68447,True
08/15/2019 12:10:42,12:10:42,389458,E01,GLOBAL,68.77026,True
08/15/2019 12:10:44,12:10:44,389460,E01,GLOBAL,68.85589,True
08/15/2019 12:10:46,12:10:46,389462,E01,GLOBAL,68.37157,True
08/15/2019 12:10:48,12:10:48,389464,E01,GLOBAL,68.45729,True
08/15/2019 12:10:50,12:10:50,389466,E01,GLOBAL,68.54286,True
08/15/2019 12:10:52,12:10:52,389468,E01,GLOBAL,68.6283,True
08/15/2019 12:10:54,12:10:54,389470,E01,GLOBAL,68.71357,True
08/15/2019 12:10:56,12:10:56,389472,E01,GLOBAL,68.79871,True
08/15/2019 12:10:58,12:10:58,389474,E01,GLOBAL,68.31762,True
08/15/2019 12:11:00,12:11:00,389476,E01,GLOBAL,68.40284,True
08/15/2019 12:11:02,12:11:02,389478,E01,GLOBAL,68.48791,True
08/15/2019 12:11:04,12:11:04,389480,E01,GLOBAL,68.57284,True
08/15/2019 12:11:06,12:11:06,389482,E01,GLOBAL,65.98627,True
08/15/2019 12:11:08,12:11:08,389484,E01,GLOBAL,66.07262,True
08/15/2019 12:11:10,12:11:10,389486,E01,GLOBAL,66.15882,True
08/15/2019 12:11:12,12:11:12,389488,E01,GLOBAL,66.24488,True
08/15/2019 12:11:14,12:11:14,389490,E01,GLOBAL,66.33078,True
08/15/2019 12:11:16,12:11:16,389492,E01,GLOBAL,66.41654,True
08/15/2019 12:11:18,12:11:18,389494,E01,GLOBAL,65.45309,True
08/15/2019 12:11:20,12:11:20,389496,E01,GLOBAL,65.53882,True
08/15/2019 12:11:22,12:11:22,389498,E01,GLOBAL,65.6244,True
08/15/2019 12:11:24,12:11:24,389500,E01,GLOBAL,65.70983,True
08/15/2019 12:11:27,12:11:27,389502,E01,GLOBAL,65.79511,True
08/15/2019 12:11:28,12:11:28,389504,E01,GLOBAL,65.88025,True
08/15/2019 12:11:30,12:11:30,389506,E01,GLOBAL,64.91904,True
08/15/2019 12:11:32,12:11:32,389508,E01,GLOBAL,65.00415,True
08/15/2019 12:11:34,12:11:34,389510,E01,GLOBAL,65.08911,True
08/15/2019 12:11:36,12:11:36,389512,E01,GLOBAL,65.17393,True
08/15/2019 12:11:38,12:11:38,389514,E01,GLOBAL,65.2586,True
08/15/2019 12:11:40,12:11:40,389516,E01,GLOBAL,65.34312,True
08/15/2019 12:11:42,12:11:42,389518,E01,GLOBAL,64.38413,True
08/15/2019 12:11:44,12:11:44,389520,E01,GLOBAL,64.46863,True
08/15/2019 12:11:46,12:11:46,389522,E01,GLOBAL,62.44471,True
08/15/2019 12:11:48,12:11:48,389524,E01,GLOBAL,62.53043,True
08/15/2019 12:11:50,12:11:50,389526,E01,GLOBAL,62.616,True
08/15/2019 12:11:52,12:11:52,389528,E01,GLOBAL,62.70142,True
08/15/2019 12:11:54,12:11:54,389530,E01,GLOBAL,62.78671,True
08/15/2019 12:11:57,12:11:57,389532,E01,GLOBAL,62.87184,True
08/15/2019 12:11:58,12:11:58,389534,E01,GLOBAL,62.25914,True
08/15/2019 12:12:00,12:12:00,389536,E01,GLOBAL,62.3442,True
08/15/2019 12:12:02,12:12:02,389538,E01,GLOBAL,62.42912,True
08/15/2019 12:12:04,12:12:04,389540,E01,GLOBAL,62.51389,True
08/15/2019 12:12:06,12:12:06,389542,E01,GLOBAL,62.59852,True
08/15/2019 12:12:08,12:12:08,389544,E01,GLOBAL,62.68301,True
08/15/2019 12:12:10,12:12:10,389546,E01,GLOBAL,62.07573,True
08/15/2019 12:12:12,12:12:12,389548,E01,GLOBAL,62.16014,True
08/15/2019 12:12:14,12:12:14,389550,E01,GLOBAL,62.24441,True
08/15/2019 12:12:16,12:12:16,389552,E01,GLOBAL,62.32854,True
08/15/2019 12:12:18,12:12:18,389554,E01,GLOBAL,62.41253,True
08/15/2019 12:12:20,12:12:20,389556,E01,GLOBAL,62.49638,True
08/15/2019 12:12:22,12:12:22,389558,E01,GLOBAL,61.89447,True
08/15/2019 12:12:24,12:12:24,389560,E01,GLOBAL,61.97824,True
08/15/2019 12:12:26,12:12:26,389562,E01,GLOBAL,62.06187,True
08/15/2019 12:12:28,12:12:28,389564,E01,GLOBAL,62.14537,True
08/15/2019 12:12:30,12:12:30,389566,E01,GLOBAL,62.22872,True
08/15/2019 12:12:32,12:12:32,389568,E01,GLOBAL,62.31194,True
08/15/2019 12:12:34,12:12:34,389570,E01,GLOBAL,61.81835,True
08/15/2019 12:12:36,12:12:36,389572,E01,GLOBAL,61.90159,True
08/15/2019 12:12:38,12:12:38,389574,E01,GLOBAL,61.9847,True
08/15/2019 12:12:40,12:12:40,389576,E01,GLOBAL,62.06767,True
08/15/2019 12:12:42,12:12:42,389578,E01,GLOBAL,62.15049,True
08/15/2019 12:12:44,12:12:44,389580,E01,GLOBAL,62.23318,True
08/15/2019 12:12:46,12:12:46,389582,E01,GLOBAL,61.79444,True
08/15/2019 12:12:48,12:12:48,389584,E01,GLOBAL,61.87721,True
08/15/2019 12:12:50,12:12:50,389586,E01,GLOBAL,61.95984,True
08/15/2019 12:12:52,12:12:52,389588,E01,GLOBAL,62.04233,True
08/15/2019 12:12:54,12:12:54,389590,E01,GLOBAL,62.12469,True
08/15/2019 12:12:56,12:12:56,389592,E01,GLOBAL,62.20691,True
08/15/2019 12:12:58,12:12:58,389594,E01,GLOBAL,61.77093,True
08/15/2019 12:13:00,12:13:00,389596,E01,GLOBAL,61.85323,True
08/15/2019 12:13:02,12:13:02,389598,E01,GLOBAL,61.93539,True
08/15/2019 12:13:04,12:13:04,389600,E01,GLOBAL,62.01742,True
08/15/2019 12:13:06,12:13:06,389602,E01,GLOBAL,59.44834,True
08/15/2019 12:13:08,12:13:08,389604,E01,GLOBAL,59.53147,True
08/15/2019 12:13:10,12:13:10,389606,E01,GLOBAL,59.61447,True
08/15/2019 12:13:12,12:13:12,389608,E01,GLOBAL,59.69733,True
08/15/2019 12:13:14,12:13:14,389610,E01,GLOBAL,59.78006,True
08/15/2019 12:13:16,12:13:16,389612,E01,GLOBAL,59.86265,True
08/15/2019 12:13:18,12:13:18,389614,E01,GLOBAL,58.64476,True
08/15/2019 12:13:20,12:13:20,389616,E01,GLOBAL,58.72717,True
08/15/2019 12:13:22,12:13:22,389618,E01,GLOBAL,58.80945,True
08/15/2019 12:13:25,12:13:25,389620,E01,GLOBAL,58.89159,True
08/15/2019 12:13:26,12:13:26,389622,E01,GLOBAL,58.9736,True
08/15/2019 12:13:28,12:13:28,389624,E01,GLOBAL,59.05548,True
08/15/2019 12:13:30,12:13:30,389626,E01,GLOBAL,57.84095,True
08/15/2019 12:13:32,12:13:32,389628,E01,GLOBAL,57.92265,True
08/15/2019 12:13:34,12:13:34,389630,E01,GLOBAL,58.00421,True
08/15/2019 12:13:37,12:13:37,389632,E01,GLOBAL,58.08564,True
08/15/2019 12:13:38,12:13:38,389634,E01,GLOBAL,58.16693,True
08/15/2019 12:13:40,12:13:40,389636,E01,GLOBAL,58.2481,True
08/15/2019 12:13:42,12:13:42,389638,E01,GLOBAL,57.03691,True
08/15/2019 12:13:44,12:13:44,389640,E01,GLOBAL,57.1179,True
08/15/2019 12:13:46,12:13:46,389642,E01,GLOBAL,55.11609,True
08/15/2019 12:13:48,12:13:48,389644,E01,GLOBAL,55.19801,True
